| Run on Fri Jan 29 15:32:34 2021
|
|Input file:
|--------------------------------------------------------------
|Input file for running PB and GB in serial
|&general
|   startframe=1, endframe=25000, interval=100, keep_files=0
|/
|&gb
|  igb=8, saltcon=0.000,
|/
|&pb
|  istrng=0.000, radiopt=0, indi=2.0,
|/
|--------------------------------------------------------------
|MMPBSA.py Version=14.0
|Solvated complex topology file:  solvated_complex.top
|Complex topology file:           complex.top
|Receptor topology file:          tyk2.top
|Ligand topology file:            lig_jmc_27.top
|Initial mdcrd(s):                production.mdcrd
|
|Receptor mask:                  ":1-288"
|Ligand mask:                    ":289"
|Ligand residue name is "MOL"
|
|Calculations performed using 250.99 complex frames.
|Poisson Boltzmann calculations performed using internal PBSA solver in mmpbsa_py_energy
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|All units are reported in kcal/mole.
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

WARNING: INCONSISTENCIES EXIST WITHIN INTERNAL POTENTIAL
TERMS. THE VALIDITY OF THESE RESULTS ARE HIGHLY QUESTIONABLE
Complex:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
EEL                     -10473.1894               57.5344              3.6388
1-4 VDW                   1022.9669               12.5255              0.7922
1-4 EEL                  12027.1663               38.2644              2.4201
EPB                      -1738.3572               53.8534              3.4060
ENPOLAR                   2298.9222                9.6271              0.6089
EDISPER                  -1281.8861               11.6353              0.7359

G gas                     5194.1889               85.1434              5.3849
G solv                    -721.3211               55.0116              3.4792

TOTAL                     4472.8679               58.2539              3.6843


Ligand:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                         8.6198                2.3316              0.1475
ANGLE                       12.9257                2.7434              0.1735
DIHED                       22.3654                3.2988              0.2086
VDWAALS                     -2.5107                1.6699              0.1056
1-4 VDW                     10.5544                0.9238              0.0584
ENPOLAR                     38.3341                0.2540              0.0161
EDISPER                    -37.4317                0.3116              0.0197

G gas                       51.9546                4.3010              0.2720
G solv                       0.9024                0.3637              0.0230

TOTAL                       52.8570                4.3072              0.2724


Differences (Complex - Receptor - Ligand):
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                         0.0000                0.0000              0.0000
ANGLE                        0.0000                0.0000              0.0000
DIHED                       -0.0002                0.0230              0.0015
VDWAALS                    -42.4247                3.1942              0.2020
EEL                          0.0000                0.0000              0.0000
1-4 VDW                     -0.0000                0.0000              0.0000
1-4 EEL                      0.0000                0.0000              0.0000
EPB                          8.9553                1.4242              0.0901
ENPOLAR                    -28.7201                1.5830              0.1001
EDISPER                     51.0458                2.0183              0.1276

DELTA G gas                -42.4248                3.1969              0.2022
DELTA G solv                31.2810                2.2571              0.1428

DELTA TOTAL                -11.1439                3.3125              0.2095


-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
